Date,High,Low,Open,Close,Volume,Adj Close,Price
2021-01-04,79883.1484375,77666.96875,78976.53125,79782.4140625,4237538.0,79745.1640625,0
2021-01-05,79681.6796875,77969.171875,79178.0,79178.0,3715472.0,79141.03125,1
2021-01-06,82603.0,79480.203125,79580.9375,79681.6796875,7126171.0,79644.4765625,1
2021-01-07,81293.4453125,79178.0,80991.234375,81091.96875,3847660.0,81054.1015625,1
2021-01-08,87841.2421875,81494.9140625,83207.4140625,87438.296875,12243539.0,87397.46875,1
2021-01-11,93280.953125,86430.9453125,88848.59375,91266.2421875,15673477.0,91223.625,1
2021-01-12,92676.5390625,87236.828125,89855.9453125,92172.859375,7831767.0,92129.8203125,0
2021-01-13,93079.4765625,90561.09375,92374.3359375,91568.453125,4002576.0,91525.6953125,0
2021-01-14,93280.953125,90661.828125,91467.7109375,90964.0390625,3981104.0,90921.5625,0
2021-01-15,92475.0703125,87941.9765625,91064.7734375,88143.4453125,4942286.0,88102.2890625,0
2021-01-18,88949.328125,86028.0078125,87337.5625,86128.7421875,4169260.0,86088.5234375,1
2021-01-19,89553.7421875,86229.4765625,86229.4765625,88647.125,2898669.0,88605.734375,1
2021-01-20,90661.828125,88042.7109375,90258.890625,89453.0078125,2959933.0,89411.2421875,1
2021-01-21,92878.0078125,91064.7734375,91165.5078125,91467.7109375,3370678.0,91425.0,1
2021-01-22,95900.0703125,91165.5078125,91870.65625,93280.953125,5769547.0,93237.3984375,1
2021-01-25,95799.3359375,92676.5390625,95094.1875,95396.390625,3574563.0,95351.84375,0
2021-01-26,96504.484375,92777.2734375,96504.484375,92878.0078125,4031682.0,92834.640625,1
2021-01-27,96101.5390625,92878.0078125,93280.953125,93683.890625,3572796.0,93640.1484375,0
2021-01-28,94389.0390625,91064.7734375,91467.7109375,92273.59375,4575413.0,92230.5078125,0
2021-01-29,92777.2734375,87841.2421875,92676.5390625,88848.59375,5311406.0,88807.109375,1
2021-02-01,89251.5390625,85625.0625,87841.2421875,88949.328125,4517286.0,88907.796875,1
2021-02-02,92072.125,89352.2734375,90661.828125,89755.2109375,3290328.0,89713.296875,1
2021-02-03,93079.4765625,90057.421875,90762.5703125,93079.4765625,3762814.0,93036.015625,0
2021-02-04,93280.953125,90460.359375,93280.953125,91568.453125,2565320.0,91525.6953125,1
2021-02-05,92878.0078125,90158.15625,92072.125,91669.1875,2027172.0,91626.3828125,1
2021-02-08,93079.4765625,90661.828125,91669.1875,92072.125,2561736.0,92029.1328125,1
2021-02-09,94187.5703125,91165.5078125,92676.5390625,92878.0078125,3650976.0,92834.640625,1
